UnitNumber,Time,Setting1,Setting2,Setting3,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,ma_5_Sensor1,ma_5_Sensor2,ma_5_Sensor3,ma_5_Sensor4,ma_5_Sensor5,ma_5_Sensor6,ma_5_Sensor7,ma_5_Sensor8,ma_5_Sensor9,ma_5_Sensor10,ma_5_Sensor11,ma_5_Sensor12,ma_5_Sensor13,ma_5_Sensor14,ma_5_Sensor15,ma_5_Sensor16,ma_5_Sensor17,ma_5_Sensor18,ma_5_Sensor19,ma_5_Sensor20,ma_5_Sensor21,sd_10_Sensor1,sd_10_Sensor2,sd_10_Sensor3,sd_10_Sensor4,sd_10_Sensor5,sd_10_Sensor6,sd_10_Sensor7,sd_10_Sensor8,sd_10_Sensor9,sd_10_Sensor10,sd_10_Sensor11,sd_10_Sensor12,sd_10_Sensor13,sd_10_Sensor14,sd_10_Sensor15,sd_10_Sensor16,sd_10_Sensor17,sd_10_Sensor18,sd_10_Sensor19,sd_10_Sensor20,sd_10_Sensor21,prob_250_Sensor1,prob_250_Sensor2,prob_250_Sensor3,prob_250_Sensor4,prob_250_Sensor5,prob_250_Sensor6,prob_250_Sensor7,prob_250_Sensor8,prob_250_Sensor9,prob_250_Sensor10,prob_250_Sensor11,prob_250_Sensor12,prob_250_Sensor13,prob_250_Sensor14,prob_250_Sensor15,prob_250_Sensor16,prob_250_Sensor17,prob_250_Sensor18,prob_250_Sensor19,prob_250_Sensor20,prob_250_Sensor21,RUL
11,83,0.0001,0.0004,100.0,518.67,642.42,1587.73,1414.22,14.62,21.61,552.80,2388.21,9037.11,1.30,47.67,520.74,2388.18,8116.85,8.4640,0.03,394,2388,100.00,38.66,23.2908,518.67,642.8,1592.3780000000002,1415.5580000000002,14.62,21.61,553.192,2388.1939999999995,9035.544,1.3,47.59000000000001,520.8539999999999,2388.154,8117.526000000001,8.44906,0.03,392.6,2388.0,100.0,38.721999999999994,23.264739999999996,0.0,0.22774766738650337,5.334500538944617,4.102465112587759,1.7763568394002505E-15,3.552713678800501E-15,0.3827845346928268,0.033406586176900746,3.5906023171603287,2.220446049250313E-16,0.08249242389456136,0.2689776942424781,0.03201562118715998,2.7613373571514344,0.0150181889720429,6.938893903907228E-18,1.044030650891055,0.0,0.0,0.07379024325749364,0.04194067357589742,1.0,0.012048192771084338,0.012048192771084338,0.024096385542168676,1.0,1.0,0.012048192771084338,0.024096385542168676,0.012048192771084338,1.0,0.03614457831325301,0.024096385542168676,0.08433734939759036,0.012048192771084338,0.012048192771084338,1.0,0.27710843373493976,1.0,1.0,0.024096385542168676,0.024096385542168676,97 
12,217,0.0013,0.0003,100.0,518.67,642.59,1595.90,1409.64,14.62,21.61,553.36,2388.04,9074.24,1.30,47.37,522.03,2388.02,8155.74,8.4482,0.03,393,2388,100.00,38.81,23.2861,518.67,642.446,1587.834,1407.3960000000002,14.62,21.61,553.802,2388.046,9069.73,1.3,47.406,521.818,2388.056,8150.048,8.43058,0.03,392.4,2388.0,100.0,38.784000000000006,23.326620000000002,0.0,0.19405153954554255,4.962616346243192,3.875481389453434,1.7763568394002505E-15,3.552713678800501E-15,0.3181210461443898,0.0368239052790549,4.035958374413646,2.220446049250313E-16,0.06252199612936152,0.21414014102918197,0.0344818792990934,2.3394890467791725,0.014935983395812997,6.938893903907228E-18,0.7810249675906655,0.0,0.0,0.07841555968046184,0.0738543187633602,1.0,0.013824884792626729,0.004608294930875576,0.004608294930875576,1.0,0.9262672811059908,0.004608294930875576,0.1152073732718894,0.004608294930875576,1.0,0.02304147465437788,0.018433179723502304,0.1336405529953917,0.009216589861751152,0.004608294930875576,1.0,0.24423963133640553,1.0,1.0,0.004608294930875576,0.009216589861751152,124 
13,195,0.0032,-0.0004,100.0,518.67,642.37,1591.31,1414.51,14.62,21.61,553.28,2388.10,9060.92,1.30,47.52,521.30,2388.12,8146.80,8.4336,0.03,394,2388,100.00,38.75,23.2820,518.67,642.5,1590.568,1410.27,14.62,21.61,553.5020000000001,2388.074,9061.702,1.3,47.478,521.682,2388.0879999999997,8146.005999999999,8.424180000000002,0.03,393.4,2388.0,100.0,38.858000000000004,23.30912,0.0,0.16597891432347384,3.002556410793957,4.056964505637175,1.7763568394002505E-15,3.552713678800501E-15,0.3172380809423596,0.03168595903551821,2.4434737567648983,2.220446049250313E-16,0.0447660585711993,0.2583098914095206,0.034000000000014546,3.692598136813662,0.025374593592804483,6.938893903907228E-18,0.9,0.0,0.0,0.12924782396620832,0.06015795874196509,1.0,0.02564102564102564,0.005128205128205128,0.005128205128205128,1.0,0.9435897435897436,0.010256410256410256,0.015384615384615385,0.010256410256410256,1.0,0.010256410256410256,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.010256410256410256,1.0,0.07179487179487179,1.0,1.0,0.02564102564102564,0.010256410256410256,95 
14,46,0.0013,-0.0002,100.0,518.67,642.91,1591.39,1408.35,14.62,21.61,553.75,2388.17,9037.35,1.30,47.57,520.66,2388.10,8118.10,8.4233,0.03,393,2388,100.00,38.69,23.2603,518.67,642.742,1593.5800000000002,1411.0460000000003,14.62,21.61,553.2860000000001,2388.1719999999996,9036.736,1.3,47.64399999999999,521.044,2388.154,8118.444,8.436599999999999,0.03,393.0,2388.0,100.0,38.806,23.275820000000003,0.0,0.1972029411545326,4.257826793095273,3.3502717800202757,1.7763568394002505E-15,3.552713678800501E-15,0.21888124634147504,0.03389690251331435,5.2446673869751015,2.220446049250313E-16,0.09635870484808384,0.29327291044349757,0.03340658617697153,3.116450063774548,0.01565140249306763,6.938893903907228E-18,0.7483314773547883,0.0,0.0,0.05895761189193598,0.04393327781989439,1.0,0.06521739130434782,0.021739130434782608,0.021739130434782608,1.0,1.0,0.043478260869565216,0.10869565217391304,0.043478260869565216,1.0,0.043478260869565216,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,1.0,0.5217391304347826,1.0,1.0,0.021739130434782608,0.021739130434782608,107 
15,76,-0.0012,-0.0000,100.0,518.67,642.49,1589.21,1400.61,14.62,21.61,554.08,2388.10,9056.10,1.30,47.25,522.12,2388.11,8139.75,8.4067,0.03,392,2388,100.00,39.17,23.4085,518.67,642.4799999999999,1592.5,1402.674,14.62,21.61,554.262,2388.068,9056.588,1.3,47.342,521.856,2388.07,8134.0419999999995,8.41562,0.03,392.6,2388.0,100.0,39.02,23.3759,0.0,0.331089111871721,4.836043424122661,3.8162961101046338,1.7763568394002505E-15,3.552713678800501E-15,0.3660382493674716,0.030724582991446488,3.809267121114172,2.220446049250313E-16,0.09610411021387173,0.2263271967749381,0.02968164415934978,3.056449737849519,0.016003340276330012,6.938893903907228E-18,0.9165151389911679,0.0,0.0,0.1117855088998573,0.05659308173266375,1.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,1.0,0.9473684210526315,0.05263157894736842,0.039473684210526314,0.013157894736842105,1.0,0.06578947368421052,0.02631578947368421,0.02631578947368421,0.013157894736842105,0.02631578947368421,1.0,0.5,1.0,1.0,0.02631578947368421,0.039473684210526314,83 
16,113,-0.0005,0.0002,100.0,518.67,642.99,1587.03,1401.00,14.62,21.61,554.60,2388.08,9059.75,1.30,47.37,521.77,2388.08,8147.40,8.4299,0.03,391,2388,100.00,38.81,23.3040,518.67,642.494,1587.076,1400.9940000000001,14.62,21.61,554.202,2388.052,9062.124,1.3,47.338,521.662,2388.054,8144.9839999999995,8.42234,0.03,391.8,2388.0,100.0,38.916,23.3286,0.0,0.21801146758828938,4.018309221550786,3.7922037128824995,1.7763568394002505E-15,3.552713678800501E-15,0.3455734364791445,0.026095976701389117,2.4266044176996284,2.220446049250313E-16,0.04237924020083387,0.3823087757298076,0.02299999999994448,4.562982467641165,0.012047572369568563,6.938893903907228E-18,0.9433981132056604,0.0,0.0,0.062481997407252333,0.06044536045057565,1.0,0.017699115044247787,0.008849557522123894,0.02654867256637168,1.0,0.9911504424778761,0.02654867256637168,0.035398230088495575,0.008849557522123894,1.0,0.04424778761061947,0.008849557522123894,0.07964601769911504,0.008849557522123894,0.035398230088495575,1.0,0.2743362831858407,1.0,1.0,0.008849557522123894,0.02654867256637168,84 
17,165,0.0009,-0.0001,100.0,518.67,642.90,1599.17,1412.54,14.62,21.61,553.49,2388.06,9094.72,1.30,47.55,521.52,2388.03,8171.98,8.4319,0.03,394,2388,100.00,38.70,23.2948,518.67,642.822,1592.718,1411.858,14.62,21.61,553.436,2388.0559999999996,9094.454000000002,1.3,47.5,521.6659999999999,2388.032,8169.83,8.44386,0.03,393.4,2388.0,100.0,38.802,23.27912,0.0,0.2735415873318075,4.880139752097236,3.529887958561833,1.7763568394002505E-15,3.552713678800501E-15,0.29993332592429617,0.024413111231467555,3.719293481294617,2.220446049250313E-16,0.06013318551349066,0.32366031576328824,0.016763054614150365,3.6731490576888133,0.021403889833392413,6.938893903907228E-18,0.8717797887081347,0.0,0.0,0.09137286249209843,0.03399020594230046,1.0,0.006060606060606061,0.006060606060606061,0.012121212121212121,1.0,0.9818181818181818,0.012121212121212121,0.05454545454545454,0.012121212121212121,1.0,0.024242424242424242,0.006060606060606061,0.10909090909090909,0.006060606060606061,0.006060606060606061,1.0,0.07878787878787878,1.0,1.0,0.012121212121212121,0.006060606060606061,50 
18,133,0.0007,0.0001,100.0,518.67,643.00,1600.45,1419.18,14.62,21.61,553.36,2388.14,9056.09,1.30,47.70,521.06,2388.19,8136.80,8.4418,0.03,395,2388,100.00,38.71,23.2637,518.67,642.942,1597.0979999999997,1414.466,14.62,21.61,553.3340000000001,2388.1539999999995,9056.970000000001,1.3,47.62800000000001,521.1479999999999,2388.13,8134.974,8.4525,0.03,393.4,2388.0,100.0,38.658,23.24172,0.0,0.28226937488858606,4.545301860162845,3.6150409402937997,1.7763568394002505E-15,3.552713678800501E-15,0.43879949863234124,0.0319530906172841,5.018545207527765,2.220446049250313E-16,0.07308214556237387,0.3127762778728712,0.022561028345383802,2.0953434086087626,0.0272967324051801,6.938893903907228E-18,0.7999999999999999,0.0,0.0,0.09297849213662253,0.049481495531157875,1.0,0.007518796992481203,0.007518796992481203,0.015037593984962405,1.0,0.9624060150375939,0.007518796992481203,0.007518796992481203,0.007518796992481203,1.0,0.007518796992481203,0.007518796992481203,0.007518796992481203,0.022556390977443608,0.03007518796992481,1.0,0.007518796992481203,1.0,1.0,0.007518796992481203,0.03007518796992481,28 
19,135,0.0004,0.0003,100.0,518.67,642.79,1588.88,1406.32,14.62,21.61,553.87,2388.10,9055.54,1.30,47.35,521.48,2388.06,8140.20,8.4768,0.03,393,2388,100.00,38.83,23.3297,518.67,642.4680000000001,1588.0819999999999,1403.904,14.62,21.607999999999997,553.9979999999999,2388.07,9061.098,1.3,47.474,521.672,2388.066,8141.589999999999,8.4232,0.03,392.8,2388.0,100.0,38.886,23.32676,0.0,0.3681304116749821,2.3043011955905413,3.302778981403352,1.7763568394002505E-15,0.002999999999999403,0.38354139281178284,0.03001666203956406,4.146475732474404,2.220446049250313E-16,0.07175653280364049,0.21373113951877892,0.024596747752489184,2.758669244400344,0.027128811252983585,6.938893903907228E-18,0.8,0.0,0.0,0.04517742799230711,0.036662363535375615,1.0,0.007407407407407408,0.014814814814814815,0.014814814814814815,1.0,0.9259259259259259,0.014814814814814815,0.037037037037037035,0.007407407407407408,1.0,0.037037037037037035,0.007407407407407408,0.1111111111111111,0.014814814814814815,0.007407407407407408,1.0,0.17777777777777778,1.0,1.0,0.037037037037037035,0.014814814814814815,87 
20,184,-0.0006,-0.0004,100.0,518.67,643.75,1595.12,1419.60,14.62,21.61,552.19,2388.14,9066.49,1.30,48.13,520.64,2388.21,8138.86,8.4690,0.03,395,2388,100.00,38.35,23.0242,518.67,643.4979999999999,1598.786,1421.462,14.62,21.61,551.786,2388.198,9062.38,1.3,48.008,520.452,2388.222,8140.1179999999995,8.4985,0.03,395.4,2388.0,100.0,38.535999999999994,23.12214,0.0,0.25381883302860303,5.019510334684072,1.9623060413706868,1.7763568394002505E-15,3.552713678800501E-15,0.40326294151583664,0.034871191548311926,3.357674939597365,2.220446049250313E-16,0.14759403781996167,0.24029981273401277,0.03884584919902966,2.335375986859499,0.027013746500624217,6.938893903907228E-18,1.1661903789690602,0.0,0.0,0.1361616686149224,0.056534114479665984,1.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,1.0,0.9891304347826086,0.010869565217391304,0.021739130434782608,0.005434782608695652,1.0,0.005434782608695652,0.005434782608695652,0.016304347826086956,0.005434782608695652,0.010869565217391304,1.0,0.08695652173913043,1.0,1.0,0.005434782608695652,0.005434782608695652,16 
21,148,0.0052,0.0005,100.0,518.67,642.66,1592.32,1403.77,14.62,21.61,553.86,2388.06,9087.25,1.30,47.46,522.02,2388.07,8168.51,8.4410,0.03,392,2388,100.00,38.74,23.4982,518.67,642.414,1591.6259999999997,1404.604,14.62,21.61,553.938,2388.032,9084.482,1.3,47.38000000000001,521.88,2388.036,8164.544,8.42708,0.03,393.2,2388.0,100.0,38.854,23.36572,0.0,0.2763041802072407,3.072345846417705,3.531667594777297,1.7763568394002505E-15,3.552713678800501E-15,0.3621615661552248,0.022825424421076622,4.309787117712307,2.220446049250313E-16,0.06554387843269548,0.20040958060931874,0.031064449134059417,3.406017615926244,0.02380430423263812,6.938893903907228E-18,1.32664991614216,0.0,0.0,0.1137585161647245,0.06318572307095952,1.0,0.013513513513513514,0.02027027027027027,0.006756756756756757,1.0,0.9054054054054054,0.013513513513513514,0.06756756756756757,0.006756756756756757,1.0,0.013513513513513514,0.02027027027027027,0.06756756756756757,0.006756756756756757,0.006756756756756757,1.0,0.41216216216216217,1.0,1.0,0.006756756756756757,0.006756756756756757,57 
22,39,-0.0000,-0.0005,100.0,518.67,642.50,1583.42,1410.16,14.62,21.61,554.04,2388.09,9055.41,1.30,47.36,521.77,2388.11,8133.12,8.4143,0.03,392,2388,100.00,38.97,23.3058,518.67,642.632,1590.1280000000002,1407.53,14.62,21.61,553.592,2388.09,9047.367999999999,1.3,47.496,521.7259999999999,2388.0960000000005,8127.844,8.416360000000001,0.03,392.6,2388.0,100.0,38.918,23.3185,0.0,0.2576742129123498,3.3116074646612232,3.654318130650358,1.7763568394002505E-15,0.002999999999999403,0.3369807116141754,0.01989974874212344,4.813055162783953,2.220446049250313E-16,0.11791946404220131,0.4366966910797467,0.02712931993251998,3.94214357932336,0.013063628898586982,6.938893903907228E-18,1.019803902718557,0.0,0.0,0.11198660634200877,0.06260081548989675,1.0,0.05128205128205128,0.02564102564102564,0.02564102564102564,1.0,0.9743589743589743,0.02564102564102564,0.1282051282051282,0.02564102564102564,1.0,0.05128205128205128,0.02564102564102564,0.23076923076923078,0.02564102564102564,0.02564102564102564,1.0,0.358974358974359,1.0,1.0,0.02564102564102564,0.02564102564102564,111 
